pressure,diameter,alpha,beta,gamma,error,converged
0.3,0.2,-0.35,0.75,0.75,107.3983552618851,True
0.3,0.2,-0.35,0.75,0.775,104.82060550984585,True
0.3,0.2,-0.35,0.75,0.8,102.28435371180278,True
0.3,0.2,-0.35,0.75,0.8250000000000001,99.79764207660473,True
0.3,0.2,-0.35,0.75,0.8500000000000001,97.35489095718872,True
0.3,0.2,-0.35,0.75,0.8750000000000001,94.9603699919039,True
0.3,0.2,-0.35,0.75,0.9000000000000001,92.63321957298903,True
0.3,0.2,-0.35,0.75,0.9250000000000002,90.3370046848508,True
0.3,0.2,-0.35,0.75,0.9500000000000002,88.10369981414003,True
0.3,0.2,-0.35,0.75,0.9750000000000002,85.91347353267712,True
0.3,0.2,-0.35,0.8,0.75,101.90658760428171,True
0.3,0.2,-0.35,0.8,0.775,99.23245301836482,True
0.3,0.2,-0.35,0.8,0.8,96.63051749996764,True
0.3,0.2,-0.35,0.8,0.8250000000000001,94.06603384259154,True
0.3,0.2,-0.35,0.8,0.8500000000000001,91.56698063033753,True
0.3,0.2,-0.35,0.8,0.8750000000000001,89.1089251551961,True
0.3,0.2,-0.35,0.8,0.9000000000000001,86.72007484578211,True
0.3,0.2,-0.35,0.8,0.9250000000000002,84.36901985921732,False
0.3,0.2,-0.35,0.8,0.9500000000000002,82.08728530336894,True
0.3,0.2,-0.35,0.8,0.9750000000000002,79.86605958043891,True
0.3,0.2,-0.35,0.8500000000000001,0.75,96.18835977926939,True
0.3,0.2,-0.35,0.8500000000000001,0.775,93.43991357937601,True
0.3,0.2,-0.35,0.8500000000000001,0.8,90.75401011461695,True
0.3,0.2,-0.35,0.8500000000000001,0.8250000000000001,88.11713497064541,False
0.3,0.2,-0.35,0.8500000000000001,0.8500000000000001,85.55338310902277,True
0.3,0.2,-0.35,0.8500000000000001,0.8750000000000001,83.05102667354372,True
0.3,0.2,-0.35,0.8500000000000001,0.9000000000000001,80.60451828072637,True
