pressure,diameter,alpha,beta,gamma,error,converged
0.3,0.2,-0.25,1.15,0.775,28.854219680936115,True
0.3,0.2,-0.25,1.15,0.8,26.045770403191483,True
0.3,0.2,-0.25,1.15,0.8250000000000001,23.54331118191034,True
0.3,0.2,-0.25,1.15,0.8500000000000001,21.412667686696626,True
0.3,0.2,-0.25,1.15,0.8750000000000001,19.770272437678447,True
0.3,0.2,-0.25,1.15,0.9000000000000001,18.838842193995635,True
0.3,0.2,-0.25,1.15,0.9250000000000002,18.61260551538371,True
0.3,0.2,-0.25,1.15,0.9500000000000002,18.818830813723245,True
0.3,0.2,-0.25,1.15,0.9750000000000002,19.312689180872475,True
0.3,0.2,-0.25,1.16,0.775,27.825293019113282,True
0.3,0.2,-0.25,1.16,0.8,25.06994374667042,True
0.3,0.2,-0.25,1.16,0.8250000000000001,22.638584798984066,True
0.3,0.2,-0.25,1.16,0.8500000000000001,20.59653148991334,True
0.3,0.2,-0.25,1.16,0.8750000000000001,19.056116805696064,True
0.3,0.2,-0.25,1.16,0.9000000000000001,18.23412876361016,True
0.3,0.2,-0.25,1.16,0.9250000000000002,18.119775750488248,True
0.3,0.2,-0.25,1.16,0.9500000000000002,18.437588232430087,True
0.3,0.2,-0.25,1.16,0.9750000000000002,19.041625734619366,True
0.3,0.2,-0.25,1.17,0.775,26.810726284880182,True
0.3,0.2,-0.25,1.17,0.8,24.11502591377512,True
0.3,0.2,-0.25,1.17,0.8250000000000001,21.762383547836976,True
0.3,0.2,-0.25,1.17,0.8500000000000001,19.816715886034977,True
0.3,0.2,-0.25,1.17,0.8750000000000001,18.385285429152795,True
0.3,0.2,-0.25,1.17,0.9000000000000001,17.678614365904124,True
0.3,0.2,-0.25,1.17,0.9250000000000002,17.681204168125603,True
0.3,0.2,-0.25,1.17,0.9500000000000002,18.115185482222433,True
0.3,0.2,-0.25,1.17,0.9750000000000002,18.833227013088656,True
0.3,0.2,-0.25,1.18,0.775,25.81283112218071,True
0.3,0.2,-0.25,1.18,0.8,23.1839967433702,True
0.3,0.2,-0.25,1.18,0.8250000000000001,20.918275450644714,True
0.3,0.2,-0.25,1.18,0.8500000000000001,19.077114703712603,True
0.3,0.2,-0.25,1.18,0.8750000000000001,17.761814078789335,True
0.3,0.2,-0.25,1.18,0.9000000000000001,17.176451274684034,True
0.3,0.2,-0.25,1.18,0.9250000000000002,17.30118734524979,True
