Load_param,Vertical_disp,Horizontal_disp,Beam_angle
0.0,0.0,0.0,0.0
0.1,0.03233846455226759,0.0005122834844787372,0.04850686540603982
0.2,0.0656278888796937,0.00211277385850539,0.09850399637651258
0.3,0.09881623430679334,0.004797155694321598,0.1484562801748366
0.4,0.13192424290805893,0.008566861460013064,0.19844994241557595
0.5,0.16486062773491544,0.013411011284400365,0.24840090962138803
0.6,0.1975605343656651,0.019315212431579964,0.2982636322943654
0.7,0.23005121268981657,0.026281396233266308,0.3481336033019982
0.8,0.26228506162366505,0.03429855215525257,0.39799148246612864
0.9,0.2941766778960401,0.0433409758335499,0.4477567681228034
1.0,0.3257341616461379,0.05340626465983789,0.4974941463545109
1.1,0.3568782574116443,0.06446349018013053,0.5471290555350488
1.2,0.38760597162282756,0.07650532015702538,0.5967069522553498
1.3,0.4178792292309139,0.08951132053505673,0.6462161261626136
1.4,0.44767414718794524,0.1034655382538634,0.6956666195183624
1.5,0.47694208141092587,0.11833848339644815,0.7450256391255243
1.6,0.5056492952408277,0.13410450960021714,0.7942823674675399
1.7,0.5337615255370942,0.15073489541271123,0.8434219184477539
1.8,0.5613149951864893,0.1682457678162308,0.8925552697024318
1.9,0.5881590525969445,0.1865291762301119,0.9414542402880195
2.0,0.6143521127104068,0.20561136005038383,0.9902640459012625
