Load_param,Vertical_disp,Horizontal_disp,Beam_angle
0.0,-0.0,0.0,-0.0
0.1,0.03201500258814343,0.0006029345376484807,0.04812575312509334
0.2,0.06527762577108605,0.002509926237283522,0.0981106971773736
0.3,0.09841337311639457,0.005718044599754668,0.1480667690669787
0.4,0.13136629376848658,0.010218123497530485,0.19798868258812818
0.5,0.16406070880635198,0.01600423775429438,0.24784817720434996
0.6,0.19644019445715327,0.023025883474903863,0.2976149235225901
0.7,0.22844315783469615,0.03133472134677007,0.34729827247840817
0.8,0.26008693391608245,0.0408519414667754,0.39699759359809034
0.9,0.2912170941583361,0.05155207831212694,0.4465457426589724
1.0,0.3218389379635411,0.06342576055487414,0.4960111194014255
1.1,0.3516715350167695,0.07632514523726164,0.5450193268667016
1.2,0.3811516565743124,0.09044806395447991,0.5943123004148184
1.3,0.4098703395888501,0.10565391005991653,0.6434326662566614
1.4,0.4379774607424018,0.12193911235749633,0.6925215727053556
1.5,0.46494556348148286,0.13896023991732442,0.7408314179110398
1.6,0.4912931903448938,0.15719828178510142,0.7893104387093095
1.7,0.5168797084549365,0.17602200402944013,0.8377004018054423
1.8,0.5416062188384989,0.1961678678199068,0.8860562436070523
1.9,0.5658457784656232,0.21724250172443593,0.9349020995929792
2.0,0.5881323582743926,0.23768916003183516,0.9812031107521504
