Load_param,Vertical_disp,Horizontal_disp,Beam_angle
0,0,0,0
0.1,0.03218037526413357,0.0005978627948477477,0.04833423977513774
0.2,0.06546126145892586,0.002477384932367377,0.09834477381177957
0.3,0.09857578536111809,0.005628673657187888,0.14826236058014847
0.4,0.13153954494065107,0.010049125878756948,0.1981865980832705
0.5,0.16423581987764707,0.015718617424639647,0.24801911636405535
0.6,0.19663087434021978,0.022623806859310647,0.297784833489456
0.7,0.2286656788435253,0.030744519751727872,0.3474685399017684
0.8,0.260288534213679,0.040058909017578914,0.39706303627317496
0.9,0.2914226234204246,0.05053306846414429,0.44652469963392666
1.0,0.3220353173521865,0.06214299071176477,0.4958644344652999
1.1,0.35205597300157354,0.07484739791279638,0.545040701939979
1.2,0.38143592997089903,0.08860854597627876,0.5940387260122637
1.3,0.41013740883718663,0.10338951364572946,0.6428520022080689
1.4,0.43815715044687364,0.11917195908530798,0.691537086865403
1.5,0.4654327878054624,0.1359040748011393,0.7400513706654899
1.6,0.49187135197925347,0.15350292093137807,0.7882759739760834
1.7,0.5175072000379061,0.17196622187794297,0.8363206370457446
1.8,0.5423246319799843,0.19126155644516363,0.8841968699927135
1.9,0.5662687067417561,0.21132307327222788,0.9318585706885325
2.0,0.5892171428900554,0.23201108192897468,0.9790953120262086
